,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,type,rlog_fixed_acidity,rlog_volatile_acidity,rlog_citric_acid,rlog_residual_sugar,rlog_chlorides,rlog_free_sulfur_dioxide,rlog_total_sulfur_dioxide,rlog_density,rlog_pH,rlog_sulphates,rlog_alcohol,quality_class,quality_num_class,type_r2
0,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,white,2.0794415416798357,0.23901690047049992,0.30748469974796055,3.077312260546414,0.04401688541677426,3.828641396489095,5.14166355650266,0.6936470556015963,1.3862943611198906,0.371563556432483,2.2823823856765264,medium,1,0
1,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6,white,1.9878743481543455,0.26236426446749106,0.29266961396282004,0.9555114450274363,0.04783732941416006,2.70805020110221,4.890349128221754,0.6901426715396466,1.4586150226995167,0.3987761199573678,2.3513752571634776,medium,1,0
2,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,white,2.2082744135228043,0.2468600779315258,0.3364722366212129,2.066862759472976,0.04879016416943205,3.4339872044851463,4.584967478670572,0.6906941743988784,1.449269160281279,0.36464311358790924,2.4069451083182885,medium,1,0
3,7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6,white,2.1041341542702074,0.20701416938432612,0.27763173659827955,2.2512917986064953,0.05638033343610769,3.871201010907891,5.231108616854587,0.6909447570047452,1.4327007339340463,0.3364722366212129,2.388762789235098,medium,1,0
4,7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6,white,2.1041341542702074,0.20701416938432612,0.27763173659827955,2.2512917986064953,0.05638033343610769,3.871201010907891,5.231108616854587,0.6909447570047452,1.4327007339340463,0.3364722366212129,2.388762789235098,medium,1,0
5,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,white,2.2082744135228043,0.2468600779315258,0.3364722366212129,2.066862759472976,0.04879016416943205,3.4339872044851463,4.584967478670572,0.6906941743988784,1.449269160281279,0.36464311358790924,2.4069451083182885,medium,1,0
6,6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,0.47,9.6,6,white,1.9740810260220096,0.27763173659827955,0.14842000511827322,2.0794415416798357,0.04401688541677426,3.4339872044851463,4.919980925828125,0.6905939237722281,1.430311246536665,0.3852624007906449,2.3608540011180215,medium,1,0
7,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,white,2.0794415416798357,0.23901690047049992,0.30748469974796055,3.077312260546414,0.04401688541677426,3.828641396489095,5.14166355650266,0.6936470556015963,1.3862943611198906,0.371563556432483,2.2823823856765264,medium,1,0
8,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6,white,1.9878743481543455,0.26236426446749106,0.29266961396282004,0.9555114450274363,0.04783732941416006,2.70805020110221,4.890349128221754,0.6901426715396466,1.4586150226995167,0.3987761199573678,2.3513752571634776,medium,1,0
9,8.1,0.22,0.43,1.5,0.044,28.0,129.0,0.9938,3.22,0.45,11.0,6,white,2.2082744135228043,0.19885085874516517,0.3576744442718159,0.9162907318741551,0.04305948946044701,3.367295829986474,4.867534450455582,0.6900423656064666,1.4398351280479207,0.371563556432483,2.4849066497880004,medium,1,0
10,8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12.0,5,white,2.2082744135228043,0.23901690047049992,0.34358970439007686,0.8960880245566357,0.03246719013750141,2.4849066497880004,4.1588830833596715,0.6885365680022622,1.3837912309017721,0.44468582126144574,2.5649493574615367,medium,1,0
11,8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7,5,white,2.2617630984737906,0.20701416938432612,0.3364722366212129,1.6486586255873816,0.03440142671733232,2.8903717578961645,4.700480365792417,0.6904936630943819,1.420695787837223,0.4252677354043441,2.3702437414678603,medium,1,0
12,7.9,0.18,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,5,white,2.186051276738094,0.16551443847757333,0.3148107398400336,0.7884573603642703,0.03922071315328133,2.833213344056216,4.330733340286331,0.6891391591624065,1.430311246536665,0.4885800148186709,2.468099531471619,medium,1,0
13,6.6,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,3.54,0.52,12.4,7,white,2.028148247292285,0.14842000511827322,0.3364722366212129,0.9162907318741551,0.04305948946044701,3.8918202981106265,4.969813299576001,0.6887374720712452,1.5129270120532565,0.41871033485818504,2.5952547069568657,high,2,0
